price_numeric,discount_percent,rating,reviews_count,title_length,has_description,has_discount,has_rating,high_rating,hour,day_of_week,month,website_encoded,category_encoded,deal_quality_score
9.99,0.0,0.0,0.0,100,0,0,0,0,22,5,10,1,3,0.0
642.99,0.0,0.0,0.0,100,0,0,0,0,22,5,10,1,3,0.0
279.0,0.0,0.0,0.0,97,0,0,0,0,22,5,10,1,3,0.0
113.39,0.0,0.0,0.0,65,0,0,0,0,22,5,10,1,3,0.0
6.36,0.0,0.0,0.0,100,0,0,0,0,22,5,10,1,3,0.0
154.0,0.0,0.0,0.0,65,0,0,0,0,22,5,10,1,3,0.0
584.1,0.0,0.0,0.0,91,0,0,0,0,22,5,10,1,3,0.0
16.99,0.0,0.0,0.0,70,0,0,0,0,22,5,10,1,3,0.0
29.99,0.0,0.0,0.0,100,0,0,0,0,22,5,10,1,3,0.0
636.99,0.0,0.0,0.0,100,0,0,0,0,22,5,10,1,3,0.0
30.6,0.0,0.0,0.0,100,0,0,0,0,22,5,10,1,3,0.0
7.99,0.0,0.0,0.0,52,0,0,0,0,22,5,10,1,3,0.0
9.99,0.0,0.0,0.0,80,0,0,0,0,22,5,10,1,26,0.0
15.67,0.0,0.0,0.0,50,0,0,0,0,22,5,10,1,26,0.0
161.0,0.0,0.0,0.0,97,0,0,0,0,22,5,10,1,26,0.0
113.0,0.0,0.0,0.0,100,0,0,0,0,22,5,10,1,26,0.0
259.0,0.0,0.0,0.0,100,0,0,0,0,22,5,10,1,26,0.0
161.0,0.0,0.0,0.0,100,0,0,0,0,22,5,10,1,26,0.0
19.0,0.0,0.0,0.0,97,0,0,0,0,22,5,10,1,26,0.0
999.99,0.0,0.0,0.0,79,0,0,0,0,22,5,10,1,26,0.0
319.0,0.0,0.0,0.0,72,0,0,0,0,22,5,10,1,26,0.0
179.0,0.0,0.0,0.0,69,0,0,0,0,22,5,10,1,26,0.0
161.0,0.0,0.0,0.0,80,0,0,0,0,22,5,10,1,26,0.0
999.99,0.0,0.0,0.0,95,0,0,0,0,22,5,10,1,26,0.0
30.01,0.0,0.0,0.0,100,0,0,0,0,22,5,10,1,26,0.0
4.19,0.0,0.0,0.0,100,0,0,0,0,22,5,10,1,26,0.0
519.99,0.0,0.0,0.0,100,0,0,0,0,22,5,10,1,6,0.0
150.0,0.0,0.0,0.0,99,0,0,0,0,22,5,10,1,13,0.0
114.99,0.0,0.0,0.0,100,0,0,0,0,22,5,10,1,18,0.0
69.99,0.0,0.0,0.0,83,0,0,0,0,22,5,10,1,10,0.0
128.0,0.0,0.0,0.0,74,0,0,0,0,22,5,10,1,10,0.0
175.29,0.0,0.0,0.0,100,0,0,0,0,22,5,10,1,10,0.0
479.99,0.0,0.0,0.0,53,0,0,0,0,22,5,10,1,10,0.0
119.99,0.0,0.0,0.0,70,0,0,0,0,22,5,10,1,10,0.0
849.0,0.0,0.0,0.0,83,0,0,0,0,22,5,10,1,8,0.0
369.0,0.0,0.0,0.0,98,0,0,0,0,22,5,10,1,8,0.0
193.0,0.0,0.0,0.0,99,0,0,0,0,22,5,10,1,8,0.0
159.0,0.0,0.0,0.0,100,0,0,0,0,22,5,10,1,8,0.0
251.48,0.0,0.0,0.0,70,0,0,0,0,22,5,10,1,19,0.0
9.87,0.0,0.0,0.0,100,0,0,0,0,22,5,10,1,19,0.0
34.5,0.0,0.0,0.0,100,0,0,0,0,22,5,10,1,19,0.0
439.0,0.0,0.0,0.0,50,0,0,0,0,22,5,10,1,19,0.0
896.99,0.0,0.0,0.0,94,0,0,0,0,22,5,10,1,13,0.0
999.0,0.0,0.0,0.0,99,0,0,0,0,22,5,10,1,11,0.0
175.0,0.0,0.0,0.0,93,0,0,0,0,22,5,10,1,11,0.0
123.0,0.0,0.0,0.0,100,0,0,0,0,22,5,10,1,11,0.0
3.99,0.0,0.0,0.0,88,0,0,0,0,22,5,10,1,17,0.0
6.99,0.0,0.0,0.0,100,0,0,0,0,22,5,10,1,17,0.0
11.89,0.0,0.0,0.0,100,0,0,0,0,22,5,10,1,17,0.0
9.49,0.0,0.0,0.0,100,0,0,0,0,22,5,10,1,22,0.0
529.0,0.0,0.0,0.0,100,0,0,0,0,22,5,10,1,22,0.0
399.0,0.0,0.0,0.0,75,0,0,0,0,22,5,10,1,2,0.0
27.73,0.0,0.0,0.0,99,0,0,0,0,22,5,10,1,2,0.0
149.0,0.0,0.0,0.0,80,0,0,0,0,22,5,10,1,27,0.0
177.0,0.0,0.0,0.0,100,0,0,0,0,22,5,10,1,27,0.0
0.0,0.0,0.0,0.0,69,0,0,0,0,12,4,10,0,9,0.0
0.0,0.0,0.0,0.0,99,0,0,0,0,12,4,10,0,9,0.0
0.0,0.0,0.0,0.0,65,0,0,0,0,12,4,10,0,9,0.0
0.0,0.0,0.0,0.0,104,0,0,0,0,12,4,10,0,9,0.0
0.0,0.0,0.0,0.0,68,0,0,0,0,12,4,10,0,9,0.0
0.0,0.0,0.0,0.0,116,0,0,0,0,12,4,10,0,9,0.0
0.0,0.0,0.0,0.0,94,0,0,0,0,12,4,10,0,9,0.0
0.0,0.0,0.0,0.0,86,0,0,0,0,12,4,10,0,9,0.0
0.0,0.0,0.0,0.0,64,0,0,0,0,12,4,10,0,9,0.0
0.0,0.0,0.0,0.0,79,0,0,0,0,12,4,10,0,9,0.0
0.0,0.0,0.0,0.0,30,0,0,0,0,12,4,10,0,31,0.0
0.0,0.0,0.0,0.0,16,0,0,0,0,12,4,10,0,25,0.0
0.0,0.0,0.0,0.0,17,0,0,0,0,12,4,10,0,7,0.0
0.0,0.0,0.0,0.0,17,0,0,0,0,12,4,10,0,7,0.0
10.0,0.0,0.0,0.0,66,0,0,0,0,12,4,10,1,3,0.0
449.99,0.0,0.0,0.0,76,0,0,0,0,12,4,10,1,3,0.0
